,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
7,"138Miguel Ángel MoyáGetafe, 38, GK","Miguel Ángel Moyá Getafe, 38, GK",32,2802,-,-,-,-,1.3,0.1,-,-,6.94,-,-,-,-,0.1,-,-,-,29.3,60.7,-,10.7,-
8,"139NachoReal Madrid, 32, D(CLR)","Nacho Real Madrid, 32, D(CLR)",6(3),556,2.7,1.8,1.2,0.4,4.1,0.6,-,-,6.94,-,-,0.2,0.2,0.7,-,0.1,0.4,28.9,85.0,0.1,1.7,-
9,"140Simao MateLevante, 33, D(C),M(C)","Simao Mate Levante, 33, D(C),M(C)",2(2),252,2.8,3,1.3,-,1.3,0.3,0.5,-,6.94,-,-,0.3,0.3,0.8,-,0.5,-,23.5,81.9,-,2.8,-
0,"121Michael EssienReal Madrid, 39, D(R),DMC","Michael Essien Real Madrid, 39, D(R),DMC",19(2),1693,1.4,1.7,1.7,-,2.5,0.7,0.3,-,6.98,2,-,0.5,0.6,0.8,-,0.6,0.7,44.0,88.5,0.2,1.8,-
1,"122Aythami ArtilesDeportivo, 36, D(C)","Aythami Artiles Deportivo, 36, D(C)",24(2),2174,2.5,2.6,1.3,1.2,8.1,0.6,0.5,-,6.98,-,1,0.5,0.4,0.3,-,0.2,0.1,37.2,80.6,-,3.9,-
2,"123PaulaoReal Betis, 39, D(C)","Paulao Real Betis, 39, D(C)",19(3),1740,1.3,1.9,1.6,1.2,5.6,-,0.6,1,6.98,2,-,0.6,0.1,0.2,-,0.3,-,18.4,87.4,-,1.5,-
3,"124Léo BaptistãoRayo Vallecano, 29, AM(CLR),FW","Léo Baptistão Rayo Vallecano, 29, AM(CLR),FW",26(2),2254,1,0.5,1.4,-,0.6,0.3,0.3,-,6.98,7,6,2.1,1,2,0.8,2.9,2.6,18.9,75.5,0.3,0.4,0.1
4,"125Diego CostaAtletico, 33, FW","Diego Costa Atletico, 33, FW",24(7),2061,0.5,0.4,2,-,0.4,0.2,0.1,-,6.98,10,7,1.6,1.2,3,0.9,3,1.9,22.5,75.0,0.2,0.3,0.1
5,"126Adil RamiValencia, 36, D(C)","Adil Rami Valencia, 36, D(C)",24(1),2081,1.4,2,1,0.4,7,0.2,0.5,-,6.97,-,2,0.8,0.2,0.8,0.1,0.2,0.2,37.3,82.6,-,4.5,0.1
6,"127Javier ManquilloAtletico, 28, D(LR),M(R)","Javier Manquillo Atletico, 28, D(LR),M(R)",2(1),196,1.7,3,0.3,-,2,-,-,-,6.97,-,1,-,0.3,0.3,-,1,0.7,19.3,70.7,-,-,-
7,"128José Antonio ReyesSevilla, 38, M(CLR)","José Antonio Reyes Sevilla, 38, M(CLR)",21(6),1780,1,0.7,1.1,-,0.1,0.5,0.1,-,6.97,4,6,1.5,2.2,1.9,0.1,1.9,1.3,30.0,77.0,1.4,1.4,0.3
8,"129JoaquínMalaga, 40, M(CLR),FW","Joaquín Malaga, 40, M(CLR),FW",29(5),2414,0.6,0.5,0.5,-,0.4,0.2,0.1,-,6.97,4,6,1.4,2.6,1.8,0.6,1.4,1.5,34.8,81.1,1.6,1,0.1
9,"130JuliánSevilla, 31, GK","Julián Sevilla, 31, GK",1,90,-,-,-,-,-,-,-,-,6.97,-,-,-,-,-,-,-,-,26.0,61.5,-,7,-
0,"111JaimeReal Valladolid, 41, GK","Jaime Real Valladolid, 41, GK",14,1260,0.1,0.1,0.1,-,1.6,-,-,-,7.0,-,-,-,-,-,-,-,0.1,25.1,63.0,-,7.4,-
1,"112Alejandro GálvezRayo Vallecano, 33, D(C),M(C)","Alejandro Gálvez Rayo Vallecano, 33, D(C),M(C)",24(4),2245,2.6,2.9,1.8,0.6,5.5,1.2,0.5,-,7.0,-,-,0.4,0.2,0.6,-,0.1,0.3,44.8,82.0,-,5.8,-
2,"113Ricardo CostaValencia, 41, D(C)","Ricardo Costa Valencia, 41, D(C)",25(1),2164,2,2.3,1.2,0.7,6.5,0.6,0.6,-,7.0,4,-,0.7,0.1,0.3,-,0.2,0.5,31.5,86.1,-,4.8,-
3,"114Víctor CasadesúsMallorca, 37, AM(C),FW","Víctor Casadesús Mallorca, 37, AM(C),FW",31(2),2623,0.6,0.4,1.2,-,1.2,0.3,0.1,-,6.99,8,5,2.1,1.7,1.1,0.4,1.5,0.9,30.5,69.9,0.2,1.2,0.2
4,"115Germán LuxDeportivo, 40, GK","Germán Lux Deportivo, 40, GK",3(1),315,-,-,-,-,2.0,-,-,-,6.99,-,-,-,-,0.3,-,-,0.3,26.5,50.9,-,7.5,-
5,"116Andrés GuardadoValencia, 35, D(L),M(CL)","Andrés Guardado Valencia, 35, D(L),M(CL)",26(6),2364,2,1.9,1.3,-,2.3,0.8,0.1,-,6.99,1,3,0.9,0.9,1.3,0.1,0.8,1,34.8,85.8,0.8,1.8,-
6,"117Rubén BlancoCelta Vigo, 26, GK","Rubén Blanco Celta Vigo, 26, GK",1(1),135,-,0.5,-,-,1.0,-,-,-,6.99,-,-,-,-,-,-,-,-,23.0,32.6,-,6.0,-
7,"118CokeSevilla, 35, D(CLR),M(R)","Coke Sevilla, 35, D(CLR),M(R)",19(2),1553,2.5,1.5,1.8,0.1,2.6,1,0.4,-,6.99,3,4,0.6,0.7,0.6,0.3,1,0.7,31.8,78.3,0.5,1.1,-
8,"119ApoñoReal Zaragoza, 38, M(C)","Apoño Real Zaragoza, 38, M(C)",29(3),2558,1.8,0.9,0.7,0.1,0.6,1,0.2,-,6.99,9,4,1.7,1.7,1.7,-,1.2,0.9,55.4,79.0,0.7,8.9,0.2
9,"120Aymeric LaporteAthletic Bilbao, 28, D(CL)","Aymeric Laporte Athletic Bilbao, 28, D(CL)",14(1),1205,2.8,2.9,1.4,0.5,5.6,0.6,0.6,-,6.98,-,-,0.4,0.3,0.9,-,0.3,0.7,41.0,83.6,0.1,3.7,-
0,"101Beñat EtxebarriaReal Betis, 35, M(C)","Beñat Etxebarria Real Betis, 35, M(C)",33(1),2864,2.1,1.2,1.1,-,0.7,0.9,0.1,-,7.01,4,8,1.7,1.8,0.9,-,1.3,0.8,53.5,78.8,1.3,6.3,0.1
1,"102Ignacio CamachoMalaga, 32, D(C),M(C)","Ignacio Camacho Malaga, 32, D(C),M(C)",30(3),2709,3.2,3.2,2.1,0.1,2.7,1.3,0.3,-,7.01,2,-,0.8,0.2,1.2,-,0.3,0.6,40.9,80.2,-,3.0,-
2,"103Alejandro ArribasOsasuna, 33, D(C)","Alejandro Arribas Osasuna, 33, D(C)",32(2),2746,2,2.2,1.1,1.5,9.2,0.9,0.5,-,7.01,2,-,0.6,0.2,0.8,-,0.2,0.2,24.4,69.2,-,2.1,-
