,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
2,"13Mats HummelsBorussia Dortmund, 33, D(C)","Mats Hummels Borussia Dortmund, 33, D(C)",23,1962,2.0,2.5,0.7,0.4,5.7,1.4,0.3,-,7.71,2,2,0.9,0.6,0.6,0.2,0.4,0.3,61.6,81.4,0.1,6.3,0.2
3,"14Kevin De BruyneWolfsburg, 30, M(CLR),FW","Kevin De Bruyne Wolfsburg, 30, M(CLR),FW",16,1420,0.9,1.0,1.6,0.1,0.1,1.5,-,-,7.71,3,6,2.1,3.1,1.4,0.2,1.8,1.9,42.4,74.2,1.8,3.9,0.3
4,"15Stefan KießlingLeverkusen, 38, FW","Stefan Kießling Leverkusen, 38, FW",30(2),2679,1.1,0.5,2.2,-,0.9,1.1,0.1,-,7.7,15,3,2.6,1.2,3.0,0.7,2.0,1.9,24.8,69.8,0.1,0.7,0.2
5,"16Jefferson FarfánSchalke, 37, M(CR),FW","Jefferson Farfán Schalke, 37, M(CR),FW",17(2),1524,1.6,0.8,1.3,-,0.5,1.1,-,-,7.7,9,5,1.5,2.4,1.3,0.2,1.6,1.3,36.5,80.1,2.1,1.0,0.1
6,"17Julian DraxlerSchalke, 28, AM(CLR),FW","Julian Draxler Schalke, 28, AM(CLR),FW",25(1),2154,1.7,0.7,1.1,-,0.2,1.3,0.2,-,7.69,2,6,1.8,2.3,0.8,0.4,1.8,1.0,36.6,84.1,0.9,2.7,0.1
7,"18Arjen RobbenBayern, 38, M(CLR),FW","Arjen Robben Bayern, 38, M(CLR),FW",20(8),1705,0.4,0.1,0.4,-,-,0.8,0.1,-,7.62,11,6,2.7,1.8,1.2,0.5,1.6,1.2,31.4,81.8,1.0,0.9,0.1
8,"19Henrikh MkhitaryanBorussia Dortmund, 33, M(CLR),FW","Henrikh Mkhitaryan Borussia Dortmund, 33, M(CLR),FW",29(2),2454,1.7,1.0,1.6,-,0.3,2.4,0.1,-,7.59,9,10,2.3,1.6,1.5,0.3,2.2,1.0,36.5,76.7,0.4,1.8,0.4
9,"20David AlabaBayern, 29, D(CL),M(CL)","David Alaba Bayern, 29, D(CL),M(CL)",26(2),2399,1.8,1.0,0.7,0.4,1.6,0.8,0.4,-,7.55,2,6,1.7,1.4,0.6,0.2,0.7,0.8,59.9,89.3,1.1,2.6,0.1
0,"1Franck RibéryBayern, 39, AM(CL),FW","Franck Ribéry Bayern, 39, AM(CL),FW",18(4),1643,0.8,0.7,0.9,-,-,1.3,-,-,8.28,10,10,2.7,2.5,2.2,0.4,3.6,1.3,53.9,83.8,1,2.8,0.2
1,"2Ricardo RodríguezWolfsburg, 29, D(CL),M(L)","Ricardo Rodríguez Wolfsburg, 29, D(CL),M(L)",34,3060,3.0,1.8,1.1,0.4,2.9,0.8,0.4,-,8.01,5,9,1.1,2.2,1.5,-,1.2,0.6,45.9,80.4,2.1,5.4,0.1
2,"3Robert LewandowskiBorussia Dortmund, 33, FW","Robert Lewandowski Borussia Dortmund, 33, FW",31(2),2807,0.6,0.2,2.3,-,0.4,0.6,-,-,8.0,20,6,3.5,1.9,2.9,0.5,3,2.3,26.2,72.1,0.1,0.5,0.3
3,"4Roberto FirminoHoffenheim, 30, M(CLR),FW","Roberto Firmino Hoffenheim, 30, M(CLR),FW",33,2916,2.5,0.8,2.2,-,0.6,2.3,-,-,7.94,16,11,2.8,2.1,1.8,0.5,3.2,3.1,43.6,74.7,0.2,1.2,0.5
4,"5Marco ReusBorussia Dortmund, 33, M(CLR),FW","Marco Reus Borussia Dortmund, 33, M(CLR),FW",26(4),2221,1.2,0.5,1.1,-,0.3,1.2,0.1,-,7.91,16,13,3.7,3,1.9,1,2.2,1.5,33.9,74.7,1.3,1.9,0.2
5,"6RaffaelBorussia M.Gladbach, 37, AM(CL),FW","Raffael Borussia M.Gladbach, 37, AM(CL),FW",34,2999,1.4,0.8,0.6,-,0.1,2.9,0.1,-,7.91,15,7,2.2,1.9,1.0,0.4,1.4,1.5,42.0,84.0,0.2,1.8,0.2
6,"7ThiagoBayern, 31, M(C)","Thiago Bayern, 31, M(C)",11(5),1004,1.9,1.3,0.8,-,0.4,1.1,0.1,-,7.9,2,4,1.3,1.3,1.1,0.1,1.3,1.0,73.6,91.6,0.3,6.8,0.1
7,"8Max KruseBorussia M.Gladbach, 34, M(CLR),FW","Max Kruse Borussia M.Gladbach, 34, M(CLR),FW",34,3021,0.8,0.4,0.6,-,0.1,1.2,0.1,-,7.88,12,9,2.2,2.9,1.7,0.5,1.5,2.2,44.5,82.4,1.9,3.8,0.2
8,"9Slobodan RajkovicHamburg, 33, D(C)","Slobodan Rajkovic Hamburg, 33, D(C)",2,158,2.0,2.0,1.5,1,9,1.0,0.5,-,7.88,-,-,1.0,-,1.0,-,-,1.0,39.5,78.5,-,3.0,-
9,"10Adrián RamosHertha Berlin, 36, FW","Adrián Ramos Hertha Berlin, 36, FW",30(2),2665,1.1,0.8,1.2,-,0.8,0.8,0.1,-,7.75,16,5,2.9,1.5,2.3,0.4,2.3,2.3,29.8,73.7,0.1,1.4,0.1
