,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,"431Christian AtsuNewcastle, 30, AM(CLR)","Christian Atsu Newcastle, 30, AM(CLR)",6(13),741,0.5,0.3,0.6,-,0.3,0.5,-,-,6.29,-,3,0.3,0.7,0.5,0.2,0.9,1.1,3,0.7,10.4,80.3,0.4,0.3,0.1
1,"432Florin AndoneBrighton, 29, FW","Florin Andone Brighton, 29, FW",1(2),72,0.3,-,0.7,-,0.3,-,0.3,-,6.29,1,-,0.3,0.3,1.0,-,0.3,1.7,-,0.3,4.0,58.3,-,-,-
2,"433Nathan TellaSouthampton, 22, AM(LR),FW","Nathan Tella Southampton, 22, AM(LR),FW",0(1),2,-,-,-,-,-,-,-,-,6.29,-,-,1,-,1.0,-,-,-,-,-,1.0,-,-,-,-
3,"434Jairo RiedewaldCrystal Palace, 25, D(CL),DMC","Jairo Riedewald Crystal Palace, 25, D(CL),DMC",7(10),765,0.8,1,0.2,0.1,1.1,0.2,0.1,-,6.29,-,-,0.2,0.1,0.1,-,0.4,0.6,-,0.1,19.4,75.7,0.1,0.9,-
4,"435Jürgen LocadiaBrighton, 28, AM(LR),FW","Jürgen Locadia Brighton, 28, AM(LR),FW",1(1),86,-,-,-,-,-,-,-,-,6.27,-,-,1,-,1.0,-,1,2.5,-,-,9.5,52.6,-,-,-
5,"436Callum RobinsonSheff Utd, 27, AM(CLR),FW","Callum Robinson Sheff Utd, 27, AM(CLR),FW",9(7),676,0.4,0.4,0.7,-,0.2,0.3,-,-,6.27,1,1,0.8,0.3,0.3,0.1,1.1,1,1,0.3,8.6,84.1,0.2,0.3,-
6,"437Adrian MariappaWatford, 35, D(CR)","Adrian Mariappa Watford, 35, D(CR)",15(5),1509,1,0.6,1,0.4,3.4,1,0.4,1,6.25,-,-,0.2,0.2,0.4,0.1,0.2,0.5,-,0.2,23.1,73.2,0.3,1.3,-
7,"438JotaAston Villa, 30, AM(CLR)","Jota Aston Villa, 30, AM(CLR)",4(6),334,0.3,0.3,0.6,-,0.5,0.3,-,-,6.25,-,1,0.6,0.4,0.2,-,1.3,0.7,1,0.4,9.3,78.5,-,0.6,0.2
8,"439Glenn MurrayBrighton, 38, FW","Glenn Murray Brighton, 38, FW",7(16),790,0.2,-,0.7,-,0.5,0.3,0.1,-,6.25,1,1,0.8,0.1,0.7,0.4,0.7,1.1,1,0.1,7.3,61.7,-,-,-
9,"440Mamadou SakhoCrystal Palace, 32, D(C)","Mamadou Sakho Crystal Palace, 32, D(C)",11(3),932,0.5,1.4,0.2,0.3,3.1,0.2,0.4,-,6.24,-,-,-,0.1,0.1,-,0.4,0.4,-,0.1,38.4,87.7,-,2,-
0,"421Cenk TosunEverton, 30, FW","Cenk Tosun Everton, 30, FW",2(3),290,0.4,-,0.8,-,0.2,0.2,-,-,6.31,1,-,2.2,0.8,0.8,0.2,0.6,1.6,-,0.8,11.6,67.2,-,0.4,-
1,"422Ruben Loftus-CheekChelsea, 26, M(CLR)","Ruben Loftus-Cheek Chelsea, 26, M(CLR)",2(5),205,-,0.3,0.3,-,0.3,0.3,0.1,-,6.31,-,1,0.6,0.1,0.4,-,0.6,0.3,1,0.1,18.9,90.2,-,0.7,0.1
2,"423Lewis CookBournemouth, 25, M(CL)","Lewis Cook Bournemouth, 25, M(CL)",14(13),1346,1,0.6,0.9,-,0.6,1.4,0.2,-,6.31,-,-,0.3,0.4,0.4,-,0.7,1,-,0.4,26.7,78.8,-,1.6,0.1
3,"424Darren RandolphWest Ham, 35, GK","Darren Randolph West Ham, 35, GK",2,180,-,-,-,-,1,-,-,-,6.31,-,-,-,-,-,-,-,-,-,-,18.0,50.0,-,8,-
4,"425Jesse LingardMan Utd, 29, AM(CLR),FW","Jesse Lingard Man Utd, 29, AM(CLR),FW",9(13),932,0.7,0.1,1.3,-,-,0.6,-,-,6.3,1,-,1,0.9,0.5,-,0.5,1.1,-,0.9,17.8,87.7,-,0.2,-
5,"426Emil KrafthNewcastle, 27, D(CR)","Emil Krafth Newcastle, 27, D(CR)",11(6),1017,1.1,0.5,0.2,-,2.4,0.6,0.5,-,6.3,-,1,0.2,0.1,0.4,-,0.2,0.5,1,0.1,19.4,77.2,0.1,0.6,-
6,"427ChicharitoWest Ham, 33, FW","Chicharito West Ham, 33, FW",1(1),107,-,0.5,-,-,-,0.5,-,-,6.3,1,-,1.5,-,-,1,0.5,0.5,-,-,10.0,85.0,-,-,-
7,"428Robbie BradyBurnley, 30, D(L),M(CLR)","Robbie Brady Burnley, 30, D(L),M(CLR)",5(12),454,0.6,0.3,0.5,0.1,0.4,0.4,0.1,-,6.3,1,2,0.7,0.5,0.2,0.1,0.6,0.6,2,0.5,8.9,63.6,0.1,0.2,0.1
8,"429Arnaut DanjumaBournemouth, 25, AM(L),FW","Arnaut Danjuma Bournemouth, 25, AM(L),FW",6(8),629,0.3,0.6,-,-,0.2,0.2,-,-,6.3,-,-,0.9,0.4,0.4,0.4,1,0.9,-,0.4,15.8,81.0,0.1,0.4,-
9,"430Emile Smith RoweArsenal, 21, AM(CL)","Emile Smith Rowe Arsenal, 21, AM(CL)",1(1),97,0.5,0.5,-,-,1,1,-,-,6.3,-,-,-,-,0.5,-,0.5,2,-,-,17.5,85.7,-,-,-
0,"411Juan MataMan Utd, 34, AM(CLR)","Juan Mata Man Utd, 34, AM(CLR)",8(11),783,0.4,-,0.4,-,0.1,0.2,0.1,-,6.33,-,2,0.5,0.9,0.5,0.2,0.4,0.7,2,0.9,26.8,87.0,0.4,1.1,0.1
1,"412Muhamed BesicSheff Utd, 29, DMC","Muhamed Besic Sheff Utd, 29, DMC",2(7),245,0.9,0.1,0.7,-,0.7,0.3,-,-,6.33,-,-,0.4,0.1,0.2,-,0.2,0.2,-,0.1,11.8,79.2,-,0.7,-
2,"413Jake VokinsSouthampton, 22, D(L)","Jake Vokins Southampton, 22, D(L)",1,90,2,-,-,-,1,-,-,-,6.32,-,-,1,1,1,-,1,2,-,1,58.0,79.3,-,3,-
3,"414Jed SteerAston Villa, 29, GK","Jed Steer Aston Villa, 29, GK",1,8,-,-,-,-,-,-,-,-,6.32,-,-,-,-,-,-,-,-,-,-,2.0,50.0,-,-,-
4,"415Timothy Fosu-MensahMan Utd, 24, D(CR)","Timothy Fosu-Mensah Man Utd, 24, D(CR)",2(1),137,0.3,1.3,1.7,-,0.3,1,-,-,6.32,-,-,0.3,0.7,-,0.3,-,0.7,-,0.7,21.3,84.4,0.3,1,-
5,"416Moise KeanEverton, 22, AM(L),FW","Moise Kean Everton, 22, AM(L),FW",6(23),866,0.2,0.2,0.9,-,-,-,-,-,6.32,2,2,1,0.3,0.4,0.1,0.7,1.1,2,0.3,4.3,76.8,0.1,-,-
6,"417Ryan SessegnonTottenham, 22, D(L),M(LR)","Ryan Sessegnon Tottenham, 22, D(L),M(LR)",4(2),343,1,0.5,0.7,-,1.7,0.5,-,-,6.32,-,-,0.2,0.3,0.3,0.3,0.2,1.7,-,0.3,26.5,77.4,0.2,0.7,-
