Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
"454Antwoine HackfordSheff Utd, 18, Forward","Antwoine Hackford Sheff Utd, 18, Forward",0(1),10,-,-,-,-,-,-,-,-,6.19,-,-,1,-,-,-,-,-,-,-,1.0,100.0,-,-,-
"455Divock OrigiLiverpool, 27, AM(LR),FW","Divock Origi Liverpool, 27, AM(LR),FW",2(7),182,0.3,0.1,-,-,0.2,0.2,0.1,-,6.19,-,-,0.8,0.2,0.1,-,0.6,0.4,-,0.2,6.2,80.4,0.1,-,-
"456Hamza ChoudhuryLeicester, 24, DMC","Hamza Choudhury Leicester, 24, DMC",4(6),314,0.8,0.4,0.6,-,0.7,0.6,0.1,-,6.19,-,-,0.4,-,0.2,-,-,0.6,-,-,23.5,80.9,-,0.6,-
"457Kamil GrosickiWest Brom, 33, AM(LR)","Kamil Grosicki West Brom, 33, AM(LR)",2(1),149,0.7,0.7,0.3,-,0.3,2,-,-,6.19,-,1,1,1,-,-,0.3,0.7,1,1,13.3,75.0,-,0.7,-
"458Alex Oxlade ChamberlainLiverpool, 28, M(CLR)","Alex Oxlade Chamberlain Liverpool, 28, M(CLR)",2(11),246,0.3,0.2,0.2,-,-,0.2,-,-,6.18,1,1,0.6,0.2,0.1,-,0.4,0.5,1,0.2,10.1,79.4,-,0.7,-
"459Jamie ShackletonLeeds, 22, D(R),DMC","Jamie Shackleton Leeds, 22, D(R),DMC",3(10),456,0.8,0.7,0.2,-,0.2,0.5,0.1,-,6.18,-,-,-,0.2,0.2,0.1,0.1,0.5,-,0.2,14.8,89.6,0.1,0.2,-
"460Mark NobleWest Ham, 35, M(C)","Mark Noble West Ham, 35, M(C)",8(13),707,0.4,0.6,0.4,-,0.1,0.5,0.1,-,6.17,-,-,-,0.2,0.4,-,0.3,0.2,-,0.2,20.5,88.6,0.1,1.3,-
"441Maxime Le MarchandFulham, 32, D(CL)","Maxime Le Marchand Fulham, 32, D(CL)",1(1),122,1,-,1.5,1.5,1.5,-,-,-,6.22,-,-,0.5,-,0.5,-,-,-,-,-,42.5,91.8,-,4,-
"442Ibrahima DialloSouthampton, 23, DMC","Ibrahima Diallo Southampton, 23, DMC",10(12),1012,1.3,0.5,1.0,-,0.5,0.3,-,-,6.22,-,-,0.3,0.4,0.5,-,0.7,0.9,-,0.4,26.7,85.0,-,0.7,-
"443Rekeem HarperWest Brom, 22, DMC","Rekeem Harper West Brom, 22, DMC",0(2),30,-,0.5,0.5,-,-,-,-,-,6.22,-,-,0.5,-,-,-,-,1,-,-,8.5,82.4,-,0.5,-
"444Branislav IvanovicWest Brom, 38, D(CR)","Branislav Ivanovic West Brom, 38, D(CR)",8(5),767,1.1,0.6,0.8,0.5,1.9,0.5,0.4,-,6.21,-,-,0.3,0.1,0.3,0.1,-,0.1,-,0.1,24.4,83.9,-,1.1,-
"445Brandon WilliamsMan Utd, 21, D(L),M(L)","Brandon Williams Man Utd, 21, D(L),M(L)",2(2),187,-,0.3,0.5,0.3,1,0.3,-,-,6.21,-,-,0.3,0.3,0.8,-,0.3,0.5,-,0.3,30.8,84.6,0.3,0.5,-
"446Lee PeltierWest Brom, 35, D(CLR),DMC,M(R)","Lee Peltier West Brom, 35, D(CLR),DMC,M(R)",3(1),229,2.3,0.3,1.0,-,2.8,-,0.3,-,6.21,-,-,-,0.3,-,-,-,0.8,-,0.3,16.3,56.9,0.5,0.3,-
"447William SmallboneSouthampton, 22, M(R)","William Smallbone Southampton, 22, M(R)",2(1),173,2,0.7,1.0,-,0.3,0.7,-,-,6.21,-,-,0.3,-,0.7,-,0.7,0.7,-,-,24.3,83.6,-,1,-
"448Dwight GayleNewcastle, 32, AM(LR),FW","Dwight Gayle Newcastle, 32, AM(LR),FW",4(14),506,0.1,0.1,0.3,-,0.1,0.4,0.1,-,6.21,1,1,0.9,0.3,0.3,0.2,0.1,0.4,1,0.3,6.0,85.2,0.1,-,-
"449Andriy YarmolenkoWest Ham, 32, AM(CR),FW","Andriy Yarmolenko West Ham, 32, AM(CR),FW",1(14),363,0.3,0.1,0.5,-,0.1,0.4,-,-,6.21,-,1,0.5,0.3,0.4,0.3,0.7,0.8,1,0.3,9.0,83.7,0.2,0.4,-
"450Morgan SansonAston Villa, 27, M(CLR)","Morgan Sanson Aston Villa, 27, M(CLR)",3(6),291,0.8,0.4,0.7,-,0.1,0.3,-,-,6.2,-,-,0.2,0.1,0.9,0.2,0.3,1.1,-,0.1,15.3,84.8,0.1,0.7,-
"431Pablo HernándezLeeds, 37, M(CLR)","Pablo Hernández Leeds, 37, M(CLR)",3(13),419,0.3,-,0.1,-,-,0.7,-,-,6.25,-,2,0.9,0.4,0.4,-,0.1,0.6,2,0.4,23.6,77.0,-,1.5,-
"432Nathan TellaSouthampton, 22, AM(LR),FW","Nathan Tella Southampton, 22, AM(LR),FW",7(11),742,0.4,0.2,0.9,-,0.1,0.5,-,-,6.25,1,1,0.9,0.3,1.3,0.3,1.3,1.9,1,0.3,7.5,71.9,0.1,0.1,-
"433VitinhaWolves, 22, M(C)","Vitinha Wolves, 22, M(C)",5(14),513,0.4,0.2,0.4,-,0.1,0.3,-,-,6.23,-,1,0.4,0.6,0.3,0.1,0.2,0.9,1,0.6,17.4,90.3,0.2,0.5,0.1
"434Davy PröpperBrighton, 30, M(C)","Davy Pröpper Brighton, 30, M(C)",2(5),211,0.9,0.1,0.1,-,-,0.4,-,-,6.23,-,-,0.6,-,-,-,0.7,0.3,-,-,13.3,75.3,-,0.6,-
"435Niall HugginsLeeds, 21, Defender","Niall Huggins Leeds, 21, Defender",0(1),37,-,-,-,-,1,1,-,-,6.23,-,-,-,-,-,-,-,-,-,-,17.0,88.2,-,-,-
"436Ruben Loftus-CheekChelsea, 26, M(CLR)","Ruben Loftus-Cheek Chelsea, 26, M(CLR)",1,61,-,-,1,-,-,-,-,-,6.23,-,-,-,-,2,-,1,2,-,-,17.0,64.7,-,-,-
"437John LundstramSheff Utd, 28, DMC","John Lundstram Sheff Utd, 28, DMC",23(5),2032,0.9,0.5,0.9,0.1,0.8,1.2,0.3,-,6.23,-,2,0.7,0.7,0.7,-,0.7,1,2,0.7,35.7,84.2,0.4,1.8,-
"438Ian Poveda-OcampoLeeds, 22, AM(R)","Ian Poveda-Ocampo Leeds, 22, AM(R)",0(14),345,0.4,0.1,0.4,-,0.1,0.4,0.1,-,6.23,-,-,0.4,0.4,0.4,0.1,1.1,0.9,-,0.4,7.9,75.7,0.1,0.3,-
"439Niels NkounkouEverton, 21, D(L),M(L)","Niels Nkounkou Everton, 21, D(L),M(L)",1(1),81,2,-,0.5,-,2,2.5,-,-,6.23,-,-,0.5,-,-,-,0.5,1.5,-,-,14.0,85.7,0.5,0.5,-
"440Carney ChukwuemekaAston Villa, 18, Midfielder","Carney Chukwuemeka Aston Villa, 18, Midfielder",0(2),18,1,-,1,-,-,1,-,-,6.22,-,-,0.5,-,-,-,-,0.5,-,-,4.5,66.7,-,0.5,-
"421Dale StephensBurnley, 32, M(C)","Dale Stephens Burnley, 32, M(C)",3(4),259,1.6,1.1,1.1,-,0.1,0.4,-,-,6.28,-,-,0.6,-,0.3,-,0.7,0.4,-,-,17.0,82.4,-,1,-
"422Aaron ConnollyBrighton, 22, FW","Aaron Connolly Brighton, 22, FW",9(8),793,0.4,-,0.4,-,0.1,0.1,-,-,6.28,2,1,1.4,0.4,0.9,0.5,0.5,1.6,1,0.4,5.4,78.3,-,-,-
"423Sead KolasinacArsenal, 28, D(CL),DMC,M(L)","Sead Kolasinac Arsenal, 28, D(CL),DMC,M(L)",1,90,-,1,1,-,-,-,-,-,6.28,-,-,-,-,1,-,-,-,-,-,62.0,87.1,-,1,-
"424Jay RodriguezBurnley, 32, AM(CLR),FW","Jay Rodriguez Burnley, 32, AM(CLR),FW",12(19),1256,0.8,0.1,1,-,0.2,0.5,0.1,-,6.27,1,2,1,0.2,0.6,0.5,0.7,1.6,2,0.2,8.8,73.4,-,0.1,-
"425Alireza JahanbakhshBrighton, 28, AM(CLR)","Alireza Jahanbakhsh Brighton, 28, AM(CLR)",6(15),525,0.4,0.4,0.3,-,-,0.5,-,-,6.26,-,1,0.9,0.5,0.2,-,0.3,0.6,1,0.5,11.0,77.6,0.2,0.3,0.1
"426Axel TuanzebeMan Utd, 24, D(CR)","Axel Tuanzebe Man Utd, 24, D(CR)",4(5),402,1.4,0.3,0.7,0.1,1.7,0.1,0.6,1,6.26,-,-,-,-,0.2,-,0.1,0.2,-,-,29.2,88.6,-,1.9,-
"427Sidnei TavaresLeicester, 20, Midfielder","Sidnei Tavares Leicester, 20, Midfielder",1(1),85,0.5,-,0.5,-,-,-,0.5,-,6.26,-,-,0.5,-,1.5,-,1.5,1,-,-,13.0,69.2,-,-,-
"428Oliver BurkeSheff Utd, 25, AM(LR),FW","Oliver Burke Sheff Utd, 25, AM(LR),FW",14(11),1273,0.6,0.1,0.9,-,0.2,0.8,-,-,6.25,1,1,1,0.6,0.2,0.1,1.1,1.9,1,0.6,10.1,70.2,-,0.1,-
"429Jack ButlandCrystal Palace, 29, GK","Jack Butland Crystal Palace, 29, GK",1,90,-,-,-,-,-,-,-,-,6.25,-,-,-,-,-,-,-,-,-,-,19.0,21.1,-,3,-
"430Joseph WillockArsenal, 22, M(C)","Joseph Willock Arsenal, 22, M(C)",2(5),235,0.9,0.4,0.9,-,-,0.6,0.1,-,6.25,-,-,0.6,0.3,0.6,-,0.4,1.9,-,0.3,12.4,78.2,-,0.1,-
"411Kevin LongBurnley, 31, D(C)","Kevin Long Burnley, 31, D(C)",7(1),636,1.4,0.8,0.9,0.8,3.0,0.3,0.9,-,6.32,-,-,0.3,0.1,0.3,-,-,0.1,-,0.1,33.1,71.3,-,2.6,-
