,posX,posY,Age,Mins,Tackles,Inter,KeyP,Goals,Assists,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,Rating,CurrentPts,Pts,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating
1276,2.0,2.5,24,1007,0.5,0.5,1.1,1,2,1.3,0.7,13.3,76.8,1.2,0.2,0.1,6.55,10.0,37.0,296.0,1.3,1.0,0,0,1.0,19.8,69.6,6.63
1277,2.0,3.0,21,533,0.6,0.3,0.6,3,2,0.5,0.6,13.9,80.2,0.3,0.3,0.0,6.6,29.0,152.0,36.0,0.0,0.3,0,1,0.7,5.7,88.2,6.27
1278,0.0,2.0,24,1218,1.2,1.4,0.2,0,0,0.5,0.4,33.6,91.4,0.0,2.4,0.0,6.63,29.0,152.0,229.0,1.1,1.3,0,0,0.6,30.6,95.3,6.66
1279,0.0,4.0,30,886,0.9,0.2,0.3,3,1,1.7,1.2,10.2,65.3,0.1,0.1,0.0,6.63,22.0,101.0,71.0,0.0,0.0,0,0,0.0,2.3,85.7,6.09
1280,1.5,1.0,22,507,1.2,1.0,0.3,0,0,0.2,0.3,39.3,94.7,0.1,0.9,0.0,6.7,34.0,145.0,114.0,3.0,0.0,0,0,0.0,54.5,91.7,6.74
1281,0.0,1.0,33,1431,1.7,2.5,0.0,1,0,0.0,0.2,30.5,79.2,0.0,1.3,0.0,6.7,10.0,37.0,255.0,1.5,1.5,0,0,0.3,27.0,75.0,6.42
1282,0.0,1.0,27,1128,1.4,1.5,0.4,1,0,0.7,0.5,30.4,82.4,0.0,2.0,0.1,6.72,22.0,101.0,607.0,1.3,1.3,1,0,0.4,35.8,84.6,6.83
1283,0.0,2.0,29,2796,1.9,1.4,0.5,3,2,0.9,0.8,38.7,76.8,0.1,1.5,0.1,6.72,10.0,37.0,479.0,2.2,1.8,0,0,0.5,35.2,75.4,6.71
1284,1.0,3.0,26,1531,0.5,0.3,0.7,6,6,0.7,0.5,21.4,86.9,0.4,0.2,0.0,6.76,34.0,145.0,398.0,0.3,0.4,0,3,0.8,21.8,89.3,6.48
1285,0.0,2.0,27,1712,1.4,0.9,1.2,2,2,0.9,0.5,38.3,79.9,1.3,3.1,0.1,6.79,10.0,37.0,335.0,1.6,0.4,0,2,2.4,35.6,82.0,6.93
1286,2.0,0.0,28,2083,2.0,1.6,0.5,1,1,0.6,0.9,23.8,75.2,0.8,1.2,0.0,6.78,22.0,101.0,399.0,1.5,0.8,0,0,0.5,19.0,72.8,6.9
1287,1.0,2.0,21,1152,1.5,0.4,0.3,1,1,0.5,1.0,35.0,91.8,0.2,0.9,0.0,6.8,34.0,145.0,114.0,0.5,0.3,0,2,0.7,18.7,91.1,6.42
1288,2.0,0.0,31,1107,1.1,0.9,0.9,1,5,0.1,0.1,27.8,89.4,0.4,0.7,0.0,6.8,29.0,152.0,540.0,2.4,1.1,1,0,0.2,29.1,89.3,6.94
1289,0.0,4.0,26,859,0.2,0.0,0.5,7,4,0.7,1.0,10.0,82.2,0.1,0.2,0.1,6.79,29.0,152.0,320.0,0.4,0.0,1,0,0.4,8.8,80.0,6.51
1290,2.0,2.0,26,1803,1.5,0.9,1.7,1,7,1.4,1.3,22.4,75.8,2.0,0.4,0.1,6.81,10.0,37.0,362.0,1.2,0.8,1,1,2.3,23.8,71.3,7.04
1291,1.5,1.0,31,1536,1.4,1.5,1.0,1,1,0.7,0.7,34.0,79.4,0.5,1.4,0.1,6.84,10.0,37.0,198.0,2.3,1.7,0,0,1.3,36.0,79.6,6.67
1292,2.0,0.0,29,3102,2.1,1.2,0.9,0,4,0.5,0.8,34.0,76.6,1.1,1.6,0.0,6.83,22.0,101.0,930.0,2.0,0.9,0,3,1.6,38.9,81.7,7.26
1293,1.0,0.0,24,636,1.5,1.6,0.1,1,0,0.2,0.0,22.2,91.6,0.1,0.9,0.0,6.83,29.0,152.0,200.0,1.0,1.0,0,0,0.2,16.0,91.7,6.51
1294,1.5,1.0,25,2945,2.5,1.7,0.7,1,3,0.7,0.9,35.3,67.7,1.1,1.8,0.1,6.85,10.0,37.0,495.0,2.7,0.8,0,0,0.3,31.7,69.5,6.63
1295,1.0,1.0,19,1056,1.6,1.0,0.4,4,2,0.8,1.2,19.0,71.3,0.1,0.6,0.0,6.87,22.0,101.0,247.0,1.6,0.8,0,0,0.4,16.8,77.4,6.74
1296,0.0,2.0,25,1811,1.7,2.5,0.4,2,0,0.7,0.8,44.6,77.6,0.1,3.3,0.0,6.91,10.0,37.0,450.0,2.4,2.8,0,0,1.0,53.4,77.2,7.09
1297,1.0,2.5,21,2034,1.4,1.1,1.1,1,1,1.4,1.2,33.8,79.4,0.2,0.6,0.2,6.94,10.0,37.0,343.0,1.8,0.8,0,1,0.6,30.0,78.0,6.56
1298,1.0,3.0,27,1690,1.7,0.7,0.4,5,3,0.9,0.9,21.8,61.8,0.2,0.4,0.0,6.96,22.0,101.0,610.0,1.7,0.7,2,0,0.3,21.1,58.3,6.82
1299,1.0,2.0,30,1590,1.6,0.4,0.8,0,1,1.0,0.6,59.4,89.9,0.2,2.3,0.3,6.96,34.0,145.0,787.0,1.9,0.7,0,5,1.2,57.2,90.0,7.34
1300,2.0,0.0,26,2921,3.1,2.5,0.5,0,0,0.6,0.6,34.5,71.7,0.5,1.4,0.0,6.99,10.0,37.0,540.0,4.5,3.2,0,0,0.5,37.5,68.9,7.16
1301,1.0,2.5,27,2347,2.0,0.9,1.1,2,4,2.8,1.5,38.3,85.2,0.8,0.6,0.1,7.04,22.0,101.0,829.0,2.0,0.7,1,2,1.6,45.2,85.2,7.25
1302,2.0,1.0,23,588,2.4,1.6,0.4,0,0,0.4,1.0,56.4,88.2,0.3,0.8,0.0,7.02,34.0,145.0,80.0,1.0,1.0,0,1,1.0,58.0,87.9,7.11
1303,0.0,0.0,29,2028,1.9,1.6,0.3,3,1,0.1,0.3,31.3,77.0,0.0,4.0,0.0,7.02,22.0,101.0,750.0,2.5,1.5,0,0,0.0,23.1,63.8,7.07
