,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
4,"465Han Kwang-SongCagliari, 23, Forward","Han Kwang-Song Cagliari, 23, Forward",0(5),59,0.6,-,0.4,-,0.2,0.2,-,-,6.31,1,-,0.8,0.4,0.4,0.8,0.8,0.4,5.2,69.2,0.2,0.2,-
5,"466Andrea CodaPescara, 37, D(C)","Andrea Coda Pescara, 37, D(C)",12(1),1004,0.8,4.1,1.2,0.8,2.9,0.8,1.1,-,6.31,-,-,0.2,0.2,0.4,0.1,-,0.3,22.7,76.3,0.1,3.1,-
6,"467Marko PjacaJuventus, 27, AM(CL),FW","Marko Pjaca Juventus, 27, AM(CL),FW",3(11),448,0.6,0.1,0.6,-,-,0.5,-,-,6.31,-,-,0.9,0.3,0.4,-,0.8,1.2,10.4,72.6,0.1,0.2,0.1
7,"468Goran PandevGenoa, 38, M(CR),FW","Goran Pandev Genoa, 38, M(CR),FW",6(14),852,0.4,0.1,0.4,-,0.1,0.4,-,-,6.3,3,-,1.1,0.7,1.6,0.3,1.5,1.7,15.1,76.2,0.1,0.7,0.1
8,"469Emanuele TerranovaSassuolo, 35, D(C)","Emanuele Terranova Sassuolo, 35, D(C)",2(1),196,0.7,1.3,0.7,0.3,4,-,1,-,6.3,-,-,0.3,-,1.3,-,0.3,0.7,40.0,87.5,-,2.3,-
9,"470Sebastián CristóforoFiorentina, 28, M(C)","Sebastián Cristóforo Fiorentina, 28, M(C)",7(12),684,0.9,0.5,0.9,-,0.2,1.1,0.1,-,6.3,-,2,0.3,0.8,1.1,0.1,0.9,0.4,22.8,87.8,0.1,0.4,-
0,"451Juan CarrizoInter, 38, GK","Juan Carrizo Inter, 38, GK",1,90,-,-,-,-,1,-,-,-,6.34,-,-,-,-,-,-,-,-,26.0,65.4,-,6,-
1,"452Alessandro BrunoPescara, 38, M(C)","Alessandro Bruno Pescara, 38, M(C)",10(5),973,2.1,1,1.3,-,0.7,1.1,-,-,6.34,-,-,-,0.3,0.3,-,0.5,0.7,46.5,82.1,-,2.5,0.1
2,"453Davide BiondiniSassuolo, 39, M(C)","Davide Biondini Sassuolo, 39, M(C)",9(5),853,1.5,0.7,1.1,0.1,0.4,1.5,0.1,-,6.34,-,-,0.3,0.7,0.6,0.1,0.8,0.7,34.2,82.5,0.4,2.6,-
3,"454Panagiotis KoneUdinese, 34, M(CLR)","Panagiotis Kone Udinese, 34, M(CLR)",3(2),300,1.2,0.6,0.6,-,0.4,1.2,0.2,-,6.33,-,-,1.2,0.4,1.4,0.4,1,0.4,21.2,85.8,0.6,1.8,-
