,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
2,"343Jérémy SorbonGuingamp, 38, D(C)","Jérémy Sorbon Guingamp, 38, D(C)",29(4),2644,1,1,0.8,0.5,3.1,0.2,0.7,-,6.5,1,-,0.2,0.1,0.8,-,-,0.4,31.3,84.2,-,2.4,-
3,"344Danijel SubasicMonaco, 37, GK","Danijel Subasic Monaco, 37, GK",14,1144,-,-,0.1,-,0.6,0.1,-,-,6.5,-,-,-,-,0.1,-,-,0.1,18.7,61.5,-,4.8,-
4,"345Jaroslav PlasilBordeaux, 40, M(C)","Jaroslav Plasil Bordeaux, 40, M(C)",16(7),1445,1.5,0.8,0.8,-,1.1,1.1,0.2,-,6.5,-,1,0.6,0.5,1.1,-,0.4,0.8,37.4,85.1,0.3,1.2,-
5,"346Colin DagbaPSG, 23, D(R)","Colin Dagba PSG, 23, D(R)",9(8),914,1.4,0.6,1.1,0.1,0.6,0.4,-,-,6.5,-,2,0.2,0.8,0.4,0.1,0.6,0.5,33.8,93.0,0.3,0.2,0.1
6,"347Timothy WeahPSG, 22, AM(LR),FW","Timothy Weah PSG, 22, AM(LR),FW",1(1),54,-,-,1.0,-,-,-,-,-,6.5,1,-,1,0.5,-,-,0.5,0.5,3.5,57.1,-,0.5,-
7,"348Anthony LimbombeNantes, 27, AM(L),FW","Anthony Limbombe Nantes, 27, AM(L),FW",12(17),1234,0.4,0.3,0.2,-,0.3,0.3,-,-,6.49,1,1,1.4,1,0.9,0.3,0.7,1.0,14.4,76.0,0.3,0.2,-
8,"349Lois DionySaint-Etienne, 29, AM(L),FW","Lois Diony Saint-Etienne, 29, AM(L),FW",19(11),1598,0.6,-,1.0,-,0.3,0.2,-,-,6.49,5,1,1.3,0.6,0.9,0.2,1.2,1.2,9.6,66.6,0.1,0.1,-
9,"350Boubakary SoumaréLille, 23, DMC","Boubakary Soumaré Lille, 23, DMC",5(13),553,1.1,0.4,0.3,-,0.3,0.4,0.2,-,6.49,1,1,0.2,0.3,0.4,-,0.6,0.3,19.2,86.4,-,1.0,-
0,"331Baptiste GuillaumeNimes, 26, FW","Baptiste Guillaume Nimes, 26, FW",15(9),1189,0.5,0.1,1.0,-,0.2,0.3,-,-,6.52,2,1,0.7,0.4,0.9,0.1,0.8,1.5,11.6,62.6,-,0.1,-
1,"332Moustapha DialloNimes, 36, M(C)","Moustapha Diallo Nimes, 36, M(C)",6(1),459,2.3,1.4,2.7,-,1.9,1.1,0.1,-,6.51,-,1,0.9,0.3,1.3,-,0.1,1.4,24.7,67.1,-,0.7,-
2,"333Paul LasneMontpellier, 33, M(CLR)","Paul Lasne Montpellier, 33, M(CLR)",18(17),1781,1.5,0.6,0.9,-,0.5,0.5,0.1,-,6.51,2,-,0.7,0.7,0.7,0.1,0.5,1.1,25.1,81.8,0.3,1.3,-
3,"334Wesley SaïdDijon, 27, AM(CLR),FW","Wesley Saïd Dijon, 27, AM(CLR),FW",25(9),2261,0.7,0.3,1.4,-,0.3,0.4,-,-,6.51,4,1,1.7,0.8,0.4,0.2,0.9,1.4,16.1,74.5,0.2,0.4,-
4,"335Paul BaysseBordeaux, 34, D(CR)","Paul Baysse Bordeaux, 34, D(CR)",0(1),73,1.0,1.0,1.0,-,6.0,1.0,1,-,6.51,-,-,-,-,-,-,-,-,33.0,72.7,-,2.0,-
5,"336Hervé LybohyNimes, 38, D(C)","Hervé Lybohy Nimes, 38, D(C)",15(2),1474,1.3,0.8,1.1,0.5,4.1,0.3,0.6,1,6.51,2,-,0.2,-,0.6,-,0.1,0.3,33.4,83.6,0.1,1.8,-
6,"337Gaëtan PaquiezNimes, 28, D(LR)","Gaëtan Paquiez Nimes, 28, D(LR)",14(6),1326,2.2,1.1,0.9,0.3,2.2,1.3,0.3,-,6.51,-,-,0.2,0.5,0.6,-,0.4,1.2,22.5,73.6,0.1,0.9,-
7,"338Lamine KonéStrasbourg, 33, D(C)","Lamine Koné Strasbourg, 33, D(C)",23(4),2148,0.8,1.2,0.8,0.2,2.3,0.1,0.5,-,6.51,1,1,0.3,0.2,0.8,-,0.3,0.5,39.8,84.2,0.1,2.9,-
8,"339Khaled AdénonAmiens, 36, D(C)","Khaled Adénon Amiens, 36, D(C)",22(1),1996,1.3,1.3,1.4,0.7,4.3,0.5,0.5,1,6.51,-,-,0.3,0.2,0.9,0.1,0.3,0.2,42.0,86.2,-,3.3,-
9,"340Enzo CrivelliCaen, 27, AM(L),FW","Enzo Crivelli Caen, 27, AM(L),FW",28(5),2273,0.6,0.1,1.4,-,0.8,0.2,-,-,6.5,6,1,0.6,0.5,1.4,0.2,1.2,2.3,16.1,64.8,0.1,0.3,-
0,"321Majeed WarisNantes, 30, AM(LR),FW","Majeed Waris Nantes, 30, AM(LR),FW",25(8),2256,0.7,0.2,0.5,-,0.2,0.6,-,-,6.54,5,3,1.2,0.8,2.2,0.3,1.8,2.3,17.0,75.2,0.2,0.4,0.1
1,"322Abdallah NdourStrasbourg, 28, M(L)","Abdallah Ndour Strasbourg, 28, M(L)",4,295,1.5,1.3,0.8,0.3,2.0,1.3,0.5,-,6.54,-,-,0.3,0.5,1,-,0.5,1,36.3,80.0,0.8,2.5,-
2,"323Pablo ChavarriaReims, 34, AM(R),FW","Pablo Chavarria Reims, 34, AM(R),FW",23(7),1978,0.7,0.1,1.6,-,0.6,0.4,-,-,6.53,5,3,1.4,0.7,0.7,1,0.7,2.2,13.0,62.3,0.2,0.1,-
3,"324Yaya SanogoToulouse, 29, FW","Yaya Sanogo Toulouse, 29, FW",13(8),1243,0.2,0.1,2,-,0.7,0.1,-,-,6.53,3,-,2.2,0.5,1.3,0.2,1.1,1.9,12.2,63.7,-,0.1,-
4,"325Tomás KoubekRennes, 29, GK","Tomás Koubek Rennes, 29, GK",32(1),2925,-,-,-,-,1.0,-,-,-,6.53,-,-,-,-,-,-,-,-,23.3,63.5,-,6.0,-
5,"326Jean Eudes AholouMonaco, 28, DMC","Jean Eudes Aholou Monaco, 28, DMC",12(5),1076,1.2,1,1.5,-,0.7,0.5,-,-,6.53,-,1,0.8,0.5,1,-,0.5,0.8,31.9,84.9,0.1,1.5,-
6,"327RafaelLyon, 31, D(LR),M(R)","Rafael Lyon, 31, D(LR),M(R)",11(7),1019,1.7,0.8,1.2,0.1,1.2,0.4,0.1,1,6.53,-,1,0.1,0.6,1.1,0.1,0.8,0.9,32.7,83.2,0.4,0.6,0.1
7,"328Cesc FàbregasMonaco, 35, M(CL),FW","Cesc Fàbregas Monaco, 35, M(CL),FW",12(1),969,1.1,0.7,0.5,-,0.2,1.5,0.2,-,6.53,1,-,0.8,1.4,1.3,-,0.5,0.8,55.3,84.7,0.7,3.2,-
8,"329Driss TrichardBordeaux, 27, Defender","Driss Trichard Bordeaux, 27, Defender",1,90,2,1,2,-,3.0,-,-,-,6.52,-,-,-,-,1,-,2,-,31.0,80.6,-,2.0,-
9,"330Romain Del CastilloRennes, 26, AM(LR),FW","Romain Del Castillo Rennes, 26, AM(LR),FW",15(14),1339,1.2,0.7,1.1,-,0.2,0.8,-,-,6.52,-,3,0.7,0.8,0.7,0.1,0.9,1.5,16.7,74.5,0.5,0.2,-
0,"311Bakaye DibassyAmiens, 32, D(CL)","Bakaye Dibassy Amiens, 32, D(CL)",32(2),2941,1.1,1.3,1.1,0.4,2.7,0.3,0.6,-,6.55,1,1,0.3,0.2,0.4,0.1,0.5,0.6,36.1,77.4,0.3,1.4,-
1,"312Lebo MothibaStrasbourg, 26, FW","Lebo Mothiba Strasbourg, 26, FW",18(14),1769,0.3,-,1.5,-,0.2,0.3,-,-,6.55,9,2,1.1,0.5,0.8,0.3,1.1,1.5,13.3,78.5,-,0.3,-
2,"313Ismael TraoréAngers, 35, D(CR)","Ismael Traoré Angers, 35, D(CR)",29(1),2636,0.9,1.4,0.5,0.7,3.8,0.5,0.5,-,6.55,3,1,0.5,0.1,0.2,0.1,0.2,0.7,36.4,85.5,-,2.5,-
