,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB
1,"22Karim BenzemaReal Madrid, 34, FW","Karim Benzema Real Madrid, 34, FW",7(1),643,0.5,0.3,0.3,-,0.5,0.1,-,-,7.56,5,2,3.9,2.1,0.3,0.6,1.3,1.8,36.3,87.2,-,1,0.3
2,"23Christian PulisicChelsea, 23, M(CLR),FW","Christian Pulisic Chelsea, 23, M(CLR),FW",3(1),266,1.3,-,-,-,0.5,0.8,-,-,7.56,1,1,1.8,2,1,0.3,2.8,1.8,23.8,75.8,0.3,0.8,-
3,"24Thomas ParteyAtletico, 28, D(R),M(CR)","Thomas Partey Atletico, 28, D(R),M(CR)",8,736,3.6,1.5,1,-,1,1.6,0.4,1,7.55,1,1,1.9,1.6,0.9,-,0.8,1.8,61.6,84.8,0.4,5,0.3
4,"25NetoBarcelona, 32, GK","Neto Barcelona, 32, GK",1,90,-,-,-,-,-,-,-,-,7.55,-,-,-,-,-,-,-,-,39.0,61.5,-,8,-
5,"26Houssem AouarLyon, 23, M(CL)","Houssem Aouar Lyon, 23, M(CL)",8,715,1.8,0.6,1.1,-,0.1,1.8,0.3,-,7.55,1,4,1.1,1.4,2.6,0.1,3,2.8,37.6,80.4,0.3,1.3,-
6,"27Douglas CostaJuventus, 31, M(CLR)","Douglas Costa Juventus, 31, M(CLR)",0(1),20,-,-,-,-,-,-,-,-,7.53,1,-,1,-,1,-,-,1,20.0,85.0,1,-,-
7,"28Josip IlicicAtalanta, 34, AM(CLR),FW","Josip Ilicic Atalanta, 34, AM(CLR),FW",6(1),516,0.6,0.6,0.9,-,0.4,0.7,-,-,7.52,5,-,2.1,1.6,2.4,0.1,3.1,2.3,32.6,84.2,0.9,0.9,0.3
8,"29Merih DemiralJuventus, 24, D(C)","Merih Demiral Juventus, 24, D(C)",1,90,2,1,1,-,4,-,2,-,7.5,-,-,-,-,3,-,-,-,56.0,82.1,-,1,-
9,"30Dani OlmoDinamo Zagreb, 24, AM(CLR),FW","Dani Olmo Dinamo Zagreb, 24, AM(CLR),FW",6,540,1.8,1,0.5,-,1.8,1.2,0.2,-,7.49,2,1,2.2,1,2.5,-,0.3,2.3,25.5,73.2,0.5,0.7,-
0,"11Hakim ZiyechAjax, 29, M(CLR)","Hakim Ziyech Ajax, 29, M(CLR)",6,499,2.3,0.3,1.8,-,0.2,3.3,-,-,7.74,2,4,3.2,2.5,0.3,0.2,1.3,2.2,48.0,76.0,1.2,2.5,0.2
1,"12RodrygoReal Madrid, 21, AM(CLR)","Rodrygo Real Madrid, 21, AM(CLR)",4(1),331,1.2,0.8,0.4,-,0.2,0.4,-,-,7.74,4,3,1.6,1.4,0.8,-,1.2,1.4,25.6,86.7,0.6,-,-
2,"13Ángel Di MaríaPSG, 34, M(CLR),FW","Ángel Di María PSG, 34, M(CLR),FW",9,750,1.0,0.4,0.3,-,0.7,1.7,-,-,7.73,3,6,2.2,2.2,1.7,0.7,1.2,2.2,34.3,82.2,1.2,1.3,0.7
3,"14Hwang Hee-ChanSalzburg, 26, AM(CLR),FW","Hwang Hee-Chan Salzburg, 26, AM(CLR),FW",6,540,0.5,0.2,1.8,-,0.2,0.2,-,-,7.69,3,3,2.3,2.3,1.0,0.8,1.3,2.5,27.8,75.4,0.2,-,0.2
