,Player,Player.1,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,C_Player,C_Mins,C_Tackles,C_Inter,C_Goals,C_Assists,C_KeyP,C_AvgP,C_PS%,C_Rating,Name,Club,Age,uefa_club,Position,CurrentPts,Pts,posX,posY
132,"49Jordi AlbaBarcelona, 33, D(L),M(L)","Jordi Alba Barcelona, 33, D(L),M(L)",2988,1.2,1.7,0.7,0.4,1.6,0.8,0.2,7.01,2,8,0.4,1.3,0.5,0.3,0.6,0.8,65.6,85.6,0.3,2.0,0.1,"Jordi Alba Barcelona, 33, D(L),M(L)",990.0,1.0,1.5,1,5,2.1,80.9,87.5,7.21,Jordi Alba,Barcelona,29,BAR  FC Barcelona  Barcelona,"D(L),M(L)",30.000,138.0,2.0,1.0
133,"31Ivan RakiticBarcelona, 34, M(C)","Ivan Rakitic Barcelona, 34, M(C)",2643,0.9,1.5,0.8,0.1,0.8,0.7,0.2,7.06,3,5,1.1,0.5,1.6,0.1,0.7,0.7,74.6,91.4,0.1,4.6,0.1,"Ivan Rakitic Barcelona, 34, M(C)",1021.0,0.8,1.6,1,2,0.8,76.2,91.4,7.0,Ivan Rakitic,Barcelona,30,BAR  FC Barcelona  Barcelona,M(C),30.000,138.0,0.0,2.0
134,"21José GiménezAtletico, 27, D(CR)","José Giménez Atletico, 27, D(CR)",1772,1.2,2.1,0.4,0.2,6,0.6,0.7,7.13,0,0,0.7,0.1,0.9,0,0.1,0.4,34.2,80.5,0,4.1,0,"José Giménez Atletico, 27, D(CR)",362.0,1.0,1.4,2,0,0,27.6,83.3,7.16,José Giménez,Atletico,23,ATL  Club Atlético de Madrid  Atlético,D(CR),20.000,127.0,1.0,0.0
135,"23Álvaro MorataAtletico, 29, AM(L),FW","Álvaro Morata Atletico, 29, AM(L),FW",1089,1.3,0.3,1.9,0,0.9,0.5,0,7.1,6,1,2.0,0.3,1.3,0.9,1.5,2.2,17.1,59.4,0,0.1,0.1,"Álvaro Morata Atletico, 29, AM(L),FW",122.0,0.5,0.5,0,0,0,18.0,58.3,6.62,Álvaro Morata,Atletico,25,ATL  Club Atlético de Madrid  Atlético,"AM(L),FW",20.000,127.0,2.0,3.0
136,"26Toni KroosReal Madrid, 32, M(C)","Toni Kroos Real Madrid, 32, M(C)",2227,1.8,0.5,0.8,0,0.4,1.5,0.1,7.09,0,4,1.1,2.3,2,0,0.4,0.6,74.0,93.2,1.5,7.8,0.1,"Toni Kroos Real Madrid, 32, M(C)",645.0,2.1,1.1,1,2,3.6,81.5,94.0,7.31,Toni Kroos,Real Madrid,28,RM  Real Madrid CF  Real Madrid,M(C),19.000,146.0,0.0,2.0
137,"28KokeAtletico, 30, M(CLR)","Koke Atletico, 30, M(CLR)",2588,2.8,1,1.1,0,1.1,1.7,0.2,7.09,3,4,0.7,2.0,1.3,0.1,1.3,1.0,64.7,86.2,1,3.2,0.1,"Koke Atletico, 30, M(CLR)",563.0,2,1,2,1,1.7,68.0,88.2,7.14,Koke,Atletico,26,ATL  Club Atlético de Madrid  Atlético,M(CLR),20.000,127.0,1.0,2.0
138,"14Gerard PiquéBarcelona, 35, D(C)","Gerard Piqué Barcelona, 35, D(C)",3150,1.2,1,0.7,0.4,4.2,0.4,0.8,7.18,4,2,0.5,0.2,0.6,0.1,0.3,0.5,68.3,91.4,0,4.3,0,"Gerard Piqué Barcelona, 35, D(C)",990.0,1.1,1.1,2,0,0.2,65.0,88.5,7.09,Gerard Piqué,Barcelona,31,BAR  FC Barcelona  Barcelona,D(C),30.000,138.0,0.0,0.0
139,"16Saúl ÑíguezAtletico, 27, D(CL),M(CLR)","Saúl Ñíguez Atletico, 27, D(CL),M(CLR)",2925,2.5,1.3,1.7,0.1,2.2,1.5,0.3,7.17,4,1,1.6,0.5,0.8,0.2,1,1.4,44.9,78.8,0.1,1.5,0.1,"Saúl Ñíguez Atletico, 27, D(CL),M(CLR)",631.0,1.6,1.5,1,0,0.6,40.5,81.2,6.86,Saúl Ñíguez,Atletico,23,ATL  Club Atlético de Madrid  Atlético,"D(CL),M(CLR)",20.000,127.0,1.0,1.0
140,"19CasemiroReal Madrid, 30, DMC","Casemiro Real Madrid, 30, DMC",2316,3,1.4,1.6,0.2,1.8,1.9,0.4,7.15,3,0,1.4,0.5,1.7,0,0.6,0.5,55.8,88.0,0.1,4.9,0,"Casemiro Real Madrid, 30, DMC",505.0,2.3,2.2,1,0,0.5,63.8,90.1,7.33,Casemiro,Real Madrid,26,RM  Real Madrid CF  Real Madrid,DMC,19.000,146.0,0.0,1.0
141,"1Lionel MessiBarcelona, 34, AM(CR),FW","Lionel Messi Barcelona, 34, AM(CR),FW",2710,0.4,0.1,0.6,0,0,0.5,0,8.48,36,13,5.0,2.7,1.9,0.5,2.3,1.9,53.8,81.3,0.4,3.4,0.9,"Lionel Messi Barcelona, 34, AM(CR),FW",837.0,1.0,0.3,12,3,2.7,59.3,84.5,8.77,Lionel Messi,Barcelona,30,BAR  FC Barcelona  Barcelona,"AM(CR),FW",30.000,138.0,1.0,3.0
